State_Crop_District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Andhra Pradesh,,,,,
 1.ADILABAD, 1997-98,Rabi       ,3600,2000,0.56
, 1998-99,Rabi       ,2800,1600,0.57
, 1999-00,Rabi       ,3964,2656,0.67
, 2000-01,Rabi       ,3681,1848,0.50
, 2001-02,Rabi       ,3721,3327,0.89
, 2002-03,Rabi       ,3267,3006,0.92
, 2003-04,Rabi       ,3842,2298,0.60
, 2004-05,Rabi       ,2895,840,0.29
, 2005-06,Rabi       ,3920,1341,0.34
, 2006-07,Rabi       ,3222,2510,0.78
, 2007-08,Rabi       ,1000,1000,1.00
, 2008-09,Rabi       ,7180,8350,1.16
, 2009-10,Rabi       ,3392,4566,1.35
, 2010-11,Rabi       ,4046,5199,1.28
, 2011-12,Rabi       ,3275,4330,1.32
, 2012-13,Rabi       ,4000,4000,1.00
 2.ANANTAPUR, 1997-98,Rabi       ,300,200,0.67
, 1998-99,Rabi       ,400,200,0.50
, 1999-00,Rabi       ,439,294,0.67
, 2000-01,Rabi       ,520,297,0.57
, 2001-02,Rabi       ,307,213,0.69
, 2002-03,Rabi       ,362,333,0.92
, 2003-04,Rabi       ,414,123,0.30
, 2004-05,Rabi       ,393,88,0.22
, 2005-06,Rabi       ,297,175,0.59
, 2006-07,Rabi       ,190,50,0.26
, 2008-09,Rabi       ,164,217,1.32
, 2009-10,Rabi       ,179,97,0.54
, 2010-11,Rabi       ,131,171,1.31
, 2011-12,Rabi       ,75,100,1.33
, 2013-14,Rabi       ,62,39,0.63
, 2015-16,Rabi       ,19,12,0.63
 3.CHITTUR, 2000-01,Rabi       ,5,3,0.60
, 2001-02,Rabi       ,4,,0.00
, 2002-03,Rabi       ,5,7,1.40
, 2003-04,Rabi       ,7,2,0.29
, 2004-05,Rabi       ,2,,0.00
, 2006-07,Rabi       ,4,1,0.25
 4.GUNTUR, 2010-11,Rabi       ,43,56,1.30
 5.KADAPA, 1998-99,Rabi       ,100,,0.00
, 1999-00,Rabi       ,163,109,0.67
, 2000-01,Rabi       ,117,67,0.57
, 2001-02,Rabi       ,39,27,0.69
, 2002-03,Rabi       ,30,28,0.93
, 2003-04,Rabi       ,39,12,0.31
, 2004-05,Rabi       ,1,,0.00
, 2005-06,Rabi       ,81,48,0.59
, 2006-07,Rabi       ,32,8,0.25
, 2008-09,Rabi       ,122,83,0.68
, 2009-10,Rabi       ,61,79,1.30
, 2010-11,Rabi       ,20,26,1.30
, 2011-12,Rabi       ,17,22,1.29
, 2013-14,Rabi       ,12,8,0.67
, 2014-15,Rabi       ,274,195,0.71
, 2015-16,Rabi       ,4,3,0.75
, 2016-17,Rabi       ,1,2,2.00
 6.KARIMNAGAR, 1997-98,Rabi       ,200,100,0.50
, 1998-99,Rabi       ,200,100,0.50
, 1999-00,Rabi       ,161,108,0.67
, 2000-01,Rabi       ,171,98,0.57
, 2001-02,Rabi       ,151,105,0.70
, 2002-03,Rabi       ,115,106,0.92
, 2003-04,Rabi       ,147,87,0.59
, 2004-05,Rabi       ,65,34,0.52
, 2005-06,Rabi       ,101,83,0.82
, 2006-07,Rabi       ,59,55,0.93
, 2008-09,Rabi       ,14,16,1.14
, 2009-10,Rabi       ,2,2,1.00
, 2010-11,Rabi       ,7,9,1.29
, 2011-12,Rabi       ,16,21,1.31
 7.KURNOOL, 1997-98,Rabi       ,600,300,0.50
, 1998-99,Rabi       ,700,400,0.57
, 1999-00,Rabi       ,789,529,0.67
, 2000-01,Rabi       ,850,484,0.57
, 2001-02,Rabi       ,1264,876,0.69
, 2002-03,Rabi       ,941,867,0.92
, 2003-04,Rabi       ,694,206,0.30
, 2004-05,Rabi       ,393,88,0.22
, 2005-06,Rabi       ,711,418,0.59
, 2006-07,Rabi       ,670,176,0.26
, 2008-09,Rabi       ,747,405,0.54
, 2009-10,Rabi       ,550,251,0.46
, 2010-11,Rabi       ,563,808,1.44
, 2011-12,Rabi       ,221,243,1.10
, 2013-14,Rabi       ,274,202,0.74
, 2014-15,Rabi       ,46,61,1.33
, 2015-16,Rabi       ,141,100,0.71
, 2016-17,Rabi       ,32,74,2.31
 8.MAHBUBNAGAR, 1997-98,Rabi       ,300,200,0.67
, 1998-99,Rabi       ,200,100,0.50
, 1999-00,Rabi       ,137,92,0.67
, 2000-01,Rabi       ,315,179,0.57
, 2001-02,Rabi       ,218,151,0.69
, 2002-03,Rabi       ,216,199,0.92
, 2003-04,Rabi       ,231,137,0.59
, 2004-05,Rabi       ,297,157,0.53
, 2005-06,Rabi       ,172,142,0.83
, 2006-07,Rabi       ,62,58,0.94
, 2008-09,Rabi       ,39,45,1.15
, 2009-10,Rabi       ,67,73,1.09
, 2010-11,Rabi       ,32,42,1.31
, 2011-12,Rabi       ,14,20,1.43
 9.MEDAK, 1997-98,Rabi       ,2800,1700,0.61
, 1998-99,Rabi       ,3500,2200,0.63
, 1999-00,Rabi       ,4052,2824,0.70
, 2000-01,Rabi       ,3828,2182,0.57
, 2001-02,Rabi       ,3888,2049,0.53
, 2002-03,Rabi       ,2854,7820,2.74
, 2003-04,Rabi       ,3419,2103,0.62
, 2004-05,Rabi       ,2401,1736,0.72
, 2005-06,Rabi       ,2438,4193,1.72
, 2006-07,Rabi       ,2927,3404,1.16
, 2007-08,Rabi       ,4000,4000,1.00
, 2008-09,Rabi       ,3080,3865,1.25
, 2009-10,Rabi       ,2948,2574,0.87
, 2010-11,Rabi       ,2758,3594,1.30
, 2011-12,Rabi       ,2539,3405,1.34
, 2012-13,Rabi       ,2000,2000,1.00
 10.NIZAMABAD, 1997-98,Rabi       ,1500,500,0.33
, 1998-99,Rabi       ,1600,400,0.25
, 1999-00,Rabi       ,1641,875,0.53
, 2000-01,Rabi       ,2610,1490,0.57
, 2001-02,Rabi       ,2011,1221,0.61
, 2002-03,Rabi       ,1521,1399,0.92
, 2003-04,Rabi       ,1389,636,0.46
, 2004-05,Rabi       ,1262,877,0.69
, 2005-06,Rabi       ,1945,1601,0.82
, 2006-07,Rabi       ,1548,1740,1.12
, 2007-08,Rabi       ,2000,2000,1.00
, 2008-09,Rabi       ,1304,1777,1.36
, 2009-10,Rabi       ,1679,1828,1.09
, 2010-11,Rabi       ,1672,2179,1.30
, 2011-12,Rabi       ,1420,1877,1.32
, 2012-13,Rabi       ,1000,2000,2.00
 11.PRAKASAM, 2001-02,Rabi       ,15,10,0.67
, 2002-03,Rabi       ,73,67,0.92
 12.RANGAREDDI, 1997-98,Rabi       ,1700,1000,0.59
, 1998-99,Rabi       ,2000,1400,0.70
, 1999-00,Rabi       ,2109,1529,0.72
, 2000-01,Rabi       ,2156,1468,0.68
, 2001-02,Rabi       ,2153,1492,0.69
, 2002-03,Rabi       ,1631,1039,0.64
, 2003-04,Rabi       ,1695,1107,0.65
, 2004-05,Rabi       ,1420,761,0.54
, 2005-06,Rabi       ,1408,860,0.61
, 2006-07,Rabi       ,1257,752,0.60
, 2007-08,Rabi       ,1000,1000,1.00
, 2008-09,Rabi       ,1037,663,0.64
, 2009-10,Rabi       ,994,849,0.85
, 2010-11,Rabi       ,793,1033,1.30
, 2011-12,Rabi       ,678,896,1.32
, 2012-13,Rabi       ,1000,1000,1.00
 13.SRIKAKULAM, 1999-00,Rabi       ,5,3,0.60
 14.WARANGAL, 1999-00,Rabi       ,55,37,0.67
, 2000-01,Rabi       ,8,5,0.63
, 2001-02,Rabi       ,22,15,0.68
, 2002-03,Rabi       ,29,27,0.93
, 2003-04,Rabi       ,51,30,0.59
, 2004-05,Rabi       ,45,24,0.53
, 2005-06,Rabi       ,36,30,0.83
, 2006-07,Rabi       ,45,42,0.93
, 2010-11,Rabi       ,20,26,1.30
Arunachal Pradesh,,,,,
 1.ANJAW, 2004-05,Rabi       ,30,60,2.00
, 2005-06,Rabi       ,32,65,2.03
, 2006-07,Rabi       ,34,73,2.15
, 2007-08,Rabi       ,30,48,1.60
, 2008-09,Rabi       ,30,49,1.63
, 2009-10,Rabi       ,25,37,1.48
, 2010-11,Rabi       ,10,15,1.50
, 2011-12,Rabi       ,10,16,1.60
, 2012-13,Rabi       ,13,20,1.54
, 2013-14,Rabi       ,13,20,1.54
 2.CHANGLANG, 1997-98,Rabi       ,240,260,1.08
, 1998-99,Rabi       ,225,230,1.02
, 1999-00,Rabi       ,225,235,1.04
, 2000-01,Rabi       ,225,235,1.04
, 2001-02,Rabi       ,200,220,1.10
, 2002-03,Rabi       ,200,320,1.60
, 2003-04,Rabi       ,205,392,1.91
, 2004-05,Rabi       ,210,401,1.91
, 2005-06,Rabi       ,160,240,1.50
, 2006-07,Rabi       ,170,283,1.66
, 2007-08,Rabi       ,268,482,1.80
, 2008-09,Rabi       ,274,548,2.00
, 2009-10,Rabi       ,285,576,2.02
, 2010-11,Rabi       ,280,574,2.05
, 2011-12,Rabi       ,280,635,2.27
, 2012-13,Rabi       ,297,613,2.06
, 2013-14,Rabi       ,280,521,1.86
, 2014-15,Rabi       ,373,858,2.30
, 2015-16,Rabi       ,373,858,2.30
, 2016-17,Rabi       ,373,858,2.30
 3.DIBANG VALLEY, 1997-98,Rabi       ,196,294,1.50
, 1998-99,Rabi       ,100,140,1.40
, 1999-00,Rabi       ,131,350,2.67
, 2000-01,Rabi       ,170,250,1.47
, 2001-02,Rabi       ,15,25,1.67
 4.EAST KAMENG, 1997-98,Rabi       ,19,81,4.26
, 1998-99,Rabi       ,5,6,1.20
, 1999-00,Rabi       ,15,19,1.27
, 2000-01,Rabi       ,12,17,1.42
, 2001-02,Rabi       ,470,795,1.69
, 2002-03,Rabi       ,16,28,1.75
, 2003-04,Rabi       ,16,28,1.75
, 2004-05,Rabi       ,20,32,1.60
, 2005-06,Rabi       ,23,46,2.00
, 2006-07,Rabi       ,23,47,2.04
, 2007-08,Rabi       ,25,52,2.08
, 2008-09,Rabi       ,27,56,2.07
, 2009-10,Rabi       ,28,57,2.04
, 2010-11,Rabi       ,31,65,2.10
, 2011-12,Rabi       ,31,72,2.32
, 2012-13,Rabi       ,32,75,2.34
, 2013-14,Rabi       ,35,81,2.31
, 2014-15,Rabi       ,128,418,3.27
, 2015-16,Rabi       ,148,348,2.35
, 2016-17,Rabi       ,148,348,2.35
 5.EAST SIANG, 1997-98,Rabi       ,447,670,1.50
, 1998-99,Rabi       ,400,600,1.50
, 1999-00,Rabi       ,450,640,1.42
, 2000-01,Rabi       ,460,665,1.45
, 2002-03,Rabi       ,470,845,1.80
, 2003-04,Rabi       ,464,910,1.96
, 2004-05,Rabi       ,500,1000,2.00
, 2005-06,Rabi       ,527,1045,1.98
, 2006-07,Rabi       ,527,1045,1.98
, 2007-08,Rabi       ,34,67,1.97
, 2008-09,Rabi       ,74,108,1.46
, 2009-10,Rabi       ,74,108,1.46
, 2010-11,Rabi       ,538,1067,1.98
, 2011-12,Rabi       ,538,1181,2.20
, 2012-13,Rabi       ,5,11,2.20
, 2013-14,Rabi       ,10,20,2.00
, 2014-15,Rabi       ,103,357,3.47
, 2015-16,Rabi       ,123,327,2.66
, 2016-17,Rabi       ,123,327,2.66
 6.KURUNG KUMEY, 2002-03,Rabi       ,15,16,1.07
, 2003-04,Rabi       ,15,16,1.07
, 2004-05,Rabi       ,15,16,1.07
 7.LOHIT, 1997-98,Rabi       ,250,300,1.20
, 1998-99,Rabi       ,198,234,1.18
, 1999-00,Rabi       ,265,318,1.20
, 2000-01,Rabi       ,302,541,1.79
, 2001-02,Rabi       ,170,250,1.47
, 2002-03,Rabi       ,340,578,1.70
, 2003-04,Rabi       ,340,578,1.70
, 2004-05,Rabi       ,355,603,1.70
, 2005-06,Rabi       ,392,666,1.70
, 2006-07,Rabi       ,420,772,1.84
, 2007-08,Rabi       ,415,664,1.60
, 2008-09,Rabi       ,423,698,1.65
, 2009-10,Rabi       ,400,640,1.60
, 2010-11,Rabi       ,475,784,1.65
, 2011-12,Rabi       ,475,867,1.83
, 2012-13,Rabi       ,460,759,1.65
, 2013-14,Rabi       ,465,799,1.72
, 2014-15,Rabi       ,558,1136,2.04
, 2015-16,Rabi       ,223,474,2.13
, 2016-17,Rabi       ,223,474,2.13
 8.LOWER DIBANG VALLEY, 2002-03,Rabi       ,170,255,1.50
, 2003-04,Rabi       ,175,260,1.49
, 2004-05,Rabi       ,180,270,1.50
, 2005-06,Rabi       ,195,302,1.55
, 2006-07,Rabi       ,250,375,1.50
, 2007-08,Rabi       ,260,364,1.40
, 2008-09,Rabi       ,257,386,1.50
, 2009-10,Rabi       ,260,390,1.50
, 2010-11,Rabi       ,265,398,1.50
, 2011-12,Rabi       ,265,442,1.67
, 2012-13,Rabi       ,280,420,1.50
, 2013-14,Rabi       ,289,434,1.50
, 2014-15,Rabi       ,382,771,2.02
, 2015-16,Rabi       ,392,791,2.02
, 2016-17,Rabi       ,392,791,2.02
 9.LOWER SUBANSIRI, 1997-98,Rabi       ,33,56,1.70
, 1998-99,Rabi       ,45,40,0.89
, 1999-00,Rabi       ,52,78,1.50
, 2000-01,Rabi       ,65,70,1.08
, 2001-02,Rabi       ,10,12,1.20
, 2002-03,Rabi       ,45,55,1.22
, 2006-07,Rabi       ,5,10,2.00
, 2007-08,Rabi       ,2,3,1.50
, 2008-09,Rabi       ,10,10,1.00
 10.NAMSAI, 2015-16,Rabi       ,335,702,2.10
, 2016-17,Rabi       ,335,702,2.10
 11.PAPUM PARE, 1997-98,Rabi       ,95,103,1.08
, 1998-99,Rabi       ,125,140,1.12
, 1999-00,Rabi       ,160,240,1.50
, 2000-01,Rabi       ,150,250,1.67
, 2001-02,Rabi       ,165,275,1.67
, 2002-03,Rabi       ,180,270,1.50
, 2003-04,Rabi       ,133,223,1.68
, 2004-05,Rabi       ,150,258,1.72
, 2005-06,Rabi       ,160,280,1.75
, 2006-07,Rabi       ,170,306,1.80
, 2007-08,Rabi       ,150,240,1.60
, 2008-09,Rabi       ,160,300,1.88
, 2009-10,Rabi       ,180,342,1.90
, 2010-11,Rabi       ,183,320,1.75
, 2011-12,Rabi       ,183,354,1.93
, 2012-13,Rabi       ,179,304,1.70
, 2013-14,Rabi       ,186,381,2.05
, 2014-15,Rabi       ,279,718,2.57
, 2015-16,Rabi       ,299,738,2.47
, 2016-17,Rabi       ,299,738,2.47
 12.TAWANG, 1997-98,Rabi       ,1695,2712,1.60
, 1998-99,Rabi       ,1795,2154,1.20
, 1999-00,Rabi       ,1800,2520,1.40
, 2000-01,Rabi       ,1935,2992,1.55
, 2001-02,Rabi       ,1900,2639,1.39
, 2002-03,Rabi       ,2290,3330,1.45
, 2003-04,Rabi       ,2025,3023,1.49
, 2004-05,Rabi       ,2027,3109,1.53
, 2005-06,Rabi       ,1702,2601,1.53
, 2006-07,Rabi       ,1662,2553,1.54
, 2007-08,Rabi       ,1662,2535,1.53
, 2008-09,Rabi       ,1345,2201,1.64
, 2009-10,Rabi       ,1155,1739,1.51
, 2010-11,Rabi       ,1155,1762,1.53
, 2011-12,Rabi       ,1156,1952,1.69
, 2012-13,Rabi       ,986,1409,1.43
, 2013-14,Rabi       ,986,1409,1.43
, 2014-15,Rabi       ,1082,1746,1.61
, 2015-16,Rabi       ,1102,1926,1.75
, 2016-17,Rabi       ,1102,1926,1.75
 13.TIRAP, 1997-98,Rabi       ,15,15,1.00
, 1998-99,Rabi       ,5,3,0.60
, 1999-00,Rabi       ,8,7,0.88
, 2000-01,Rabi       ,10,15,1.50
, 2001-02,Rabi       ,15,25,1.67
, 2002-03,Rabi       ,16,25,1.56
, 2004-05,Rabi       ,16,27,1.69
, 2005-06,Rabi       ,16,26,1.63
, 2006-07,Rabi       ,16,26,1.63
, 2007-08,Rabi       ,16,25,1.56
, 2014-15,Rabi       ,106,357,3.37
, 2015-16,Rabi       ,106,167,1.58
, 2016-17,Rabi       ,106,167,1.58
 14.UPPER SIANG, 2001-02,Rabi       ,300,510,1.70
 15.UPPER SUBANSIRI, 1997-98,Rabi       ,60,120,2.00
, 1998-99,Rabi       ,15,30,2.00
, 1999-00,Rabi       ,25,37,1.48
, 2000-01,Rabi       ,300,300,1.00
, 2001-02,Rabi       ,60,75,1.25
, 2002-03,Rabi       ,18,22,1.22
, 2003-04,Rabi       ,23,27,1.17
, 2004-05,Rabi       ,24,28,1.17
, 2005-06,Rabi       ,37,43,1.16
, 2006-07,Rabi       ,37,43,1.16
, 2007-08,Rabi       ,30,45,1.50
 16.WEST KAMENG, 1997-98,Rabi       ,670,799,1.19
, 1998-99,Rabi       ,677,765,1.13
, 1999-00,Rabi       ,675,500,0.74
, 2000-01,Rabi       ,678,766,1.13
, 2001-02,Rabi       ,410,385,0.94
, 2002-03,Rabi       ,268,380,1.42
, 2003-04,Rabi       ,679,767,1.13
, 2004-05,Rabi       ,676,764,1.13
, 2005-06,Rabi       ,676,764,1.13
, 2006-07,Rabi       ,589,673,1.14
, 2007-08,Rabi       ,589,673,1.14
, 2008-09,Rabi       ,601,717,1.19
, 2009-10,Rabi       ,686,785,1.14
, 2010-11,Rabi       ,685,790,1.15
, 2011-12,Rabi       ,685,874,1.28
, 2012-13,Rabi       ,685,790,1.15
, 2013-14,Rabi       ,696,805,1.16
, 2014-15,Rabi       ,789,1139,1.44
, 2015-16,Rabi       ,809,1369,1.69
, 2016-17,Rabi       ,809,1369,1.69
 17.WEST SIANG, 1997-98,Rabi       ,65,65,1.00
, 1998-99,Rabi       ,70,53,0.76
, 1999-00,Rabi       ,90,125,1.39
, 2000-01,Rabi       ,90,125,1.39
, 2001-02,Rabi       ,90,130,1.44
, 2002-03,Rabi       ,86,126,1.47
, 2003-04,Rabi       ,75,96,1.28
, 2004-05,Rabi       ,75,84,1.12
, 2005-06,Rabi       ,56,62,1.11
, 2006-07,Rabi       ,76,95,1.25
, 2007-08,Rabi       ,77,96,1.25
, 2008-09,Rabi       ,77,96,1.25
, 2009-10,Rabi       ,77,96,1.25
, 2010-11,Rabi       ,77,97,1.26
, 2011-12,Rabi       ,77,107,1.39
Assam,,,,,
 1.BAKSA, 2005-06,Rabi       ,2159,2457,1.14
, 2006-07,Rabi       ,2853,3230,1.13
, 2007-08,Rabi       ,2419,3320,1.37
, 2008-09,Rabi       ,1728,1291,0.75
, 2009-10,Rabi       ,2333,2536,1.09
, 2010-11,Rabi       ,868,1276,1.47
, 2011-12,Rabi       ,380,576,1.52
, 2012-13,Rabi       ,280,280,1.00
, 2013-14,Rabi       ,350,516,1.47
, 2014-15,Rabi       ,312,533,1.71
, 2015-16,Rabi       ,291,563,1.93
, 2016-17,Rabi       ,280,493,1.76
, 2017-18,Rabi       ,280,508,1.81
 2.BARPETA, 1997-98,Rabi       ,12675,15645,1.23
, 1998-99,Rabi       ,13620,13856,1.02
, 1999-00,Rabi       ,10104,10954,1.08
, 2000-01,Rabi       ,10170,13127,1.29
, 2001-02,Rabi       ,10169,10477,1.03
, 2002-03,Rabi       ,9520,8825,0.93
, 2003-04,Rabi       ,10125,9267,0.92
, 2004-05,Rabi       ,10305,11773,1.14
, 2005-06,Rabi       ,6051,6264,1.04
, 2006-07,Rabi       ,8788,9497,1.08
, 2007-08,Rabi       ,7356,9480,1.29
, 2008-09,Rabi       ,6249,5226,0.84
, 2009-10,Rabi       ,7400,6216,0.84
, 2010-11,Rabi       ,6654,10038,1.51
, 2011-12,Rabi       ,6924,7634,1.10
, 2012-13,Rabi       ,6318,8969,1.42
, 2013-14,Rabi       ,5888,8731,1.48
, 2014-15,Rabi       ,5535,6533,1.18
, 2015-16,Rabi       ,5292,5123,0.97
, 2016-17,Rabi       ,5214,7238,1.39
, 2017-18,Rabi       ,4835,7322,1.51
 3.BONGAIGAON, 1997-98,Rabi       ,5397,6458,1.20
, 1998-99,Rabi       ,5231,7278,1.39
, 1999-00,Rabi       ,5273,8105,1.54
, 2000-01,Rabi       ,4750,5884,1.24
, 2001-02,Rabi       ,5844,6875,1.18
, 2002-03,Rabi       ,5830,7419,1.27
, 2003-04,Rabi       ,5770,5764,1.00
, 2004-05,Rabi       ,6086,8733,1.43
, 2005-06,Rabi       ,4680,5850,1.25
, 2006-07,Rabi       ,4748,5678,1.20
, 2007-08,Rabi       ,5812,8375,1.44
, 2008-09,Rabi       ,5383,6636,1.23
, 2009-10,Rabi       ,5758,6581,1.14
, 2010-11,Rabi       ,5555,6946,1.25
, 2011-12,Rabi       ,5125,6680,1.30
, 2012-13,Rabi       ,4675,5572,1.19
, 2013-14,Rabi       ,4360,5509,1.26
, 2014-15,Rabi       ,981,1221,1.24
, 2015-16,Rabi       ,489,444,0.91
, 2016-17,Rabi       ,469,463,0.99
, 2017-18,Rabi       ,627,893,1.42
 4.CACHAR, 1997-98,Rabi       ,35,45,1.29
, 1998-99,Rabi       ,35,35,1.00
, 1999-00,Rabi       ,35,45,1.29
, 2000-01,Rabi       ,49,60,1.22
, 2001-02,Rabi       ,55,65,1.18
, 2002-03,Rabi       ,59,67,1.14
, 2003-04,Rabi       ,60,63,1.05
, 2004-05,Rabi       ,83,88,1.06
, 2005-06,Rabi       ,86,92,1.07
, 2006-07,Rabi       ,93,105,1.13
, 2007-08,Rabi       ,255,322,1.26
, 2008-09,Rabi       ,117,128,1.09
, 2009-10,Rabi       ,154,168,1.09
, 2010-11,Rabi       ,80,100,1.25
, 2011-12,Rabi       ,70,85,1.21
, 2012-13,Rabi       ,65,84,1.29
, 2013-14,Rabi       ,65,84,1.29
, 2014-15,Rabi       ,65,79,1.22
, 2015-16,Rabi       ,59,69,1.17
, 2016-17,Rabi       ,54,72,1.33
, 2017-18,Rabi       ,49,68,1.39
 5.CHIRANG, 2005-06,Rabi       ,1577,1823,1.16
, 2006-07,Rabi       ,1814,2053,1.13
, 2007-08,Rabi       ,1316,2203,1.67
, 2008-09,Rabi       ,1706,2044,1.20
, 2009-10,Rabi       ,1748,2426,1.39
, 2010-11,Rabi       ,1064,1755,1.65
, 2011-12,Rabi       ,966,990,1.02
, 2012-13,Rabi       ,614,616,1.00
, 2013-14,Rabi       ,647,633,0.98
, 2014-15,Rabi       ,765,832,1.09
, 2015-16,Rabi       ,690,904,1.31
, 2016-17,Rabi       ,478,649,1.36
, 2017-18,Rabi       ,504,680,1.35
 6.DARRANG, 1997-98,Rabi       ,3665,4021,1.10
, 1998-99,Rabi       ,3833,3947,1.03
, 1999-00,Rabi       ,4350,5210,1.20
, 2000-01,Rabi       ,3897,5110,1.31
, 2001-02,Rabi       ,4483,5581,1.24
, 2002-03,Rabi       ,5607,6681,1.19
, 2003-04,Rabi       ,6039,5490,0.91
, 2004-05,Rabi       ,6200,5439,0.88
, 2005-06,Rabi       ,1527,2214,1.45
, 2006-07,Rabi       ,1438,1766,1.23
, 2007-08,Rabi       ,2005,2109,1.05
, 2008-09,Rabi       ,2341,2013,0.86
, 2009-10,Rabi       ,3027,2945,0.97
, 2010-11,Rabi       ,2917,5236,1.79
, 2011-12,Rabi       ,2082,2455,1.18
, 2012-13,Rabi       ,1050,1195,1.14
, 2013-14,Rabi       ,1493,1503,1.01
, 2014-15,Rabi       ,788,959,1.22
, 2015-16,Rabi       ,689,726,1.05
, 2016-17,Rabi       ,355,513,1.45
, 2017-18,Rabi       ,286,281,0.98
 7.DHEMAJI, 1997-98,Rabi       ,3500,4463,1.28
, 1998-99,Rabi       ,3666,2476,0.68
, 1999-00,Rabi       ,2977,2877,0.97
, 2000-01,Rabi       ,1156,1150,0.99
, 2001-02,Rabi       ,1140,1559,1.37
, 2002-03,Rabi       ,1405,1728,1.23
, 2003-04,Rabi       ,2210,1043,0.47
, 2004-05,Rabi       ,815,802,0.98
, 2005-06,Rabi       ,210,67,0.32
, 2006-07,Rabi       ,555,196,0.35
, 2007-08,Rabi       ,506,358,0.71
, 2008-09,Rabi       ,515,290,0.56
, 2009-10,Rabi       ,505,594,1.18
, 2010-11,Rabi       ,477,518,1.09
, 2011-12,Rabi       ,397,203,0.51
, 2012-13,Rabi       ,402,523,1.30
, 2013-14,Rabi       ,142,64,0.45
, 2014-15,Rabi       ,92,40,0.43
, 2015-16,Rabi       ,27,12,0.44
, 2016-17,Rabi       ,25,10,0.40
, 2017-18,Rabi       ,1,1,1.00
 8.DHUBRI, 1997-98,Rabi       ,18270,25101,1.37
, 1998-99,Rabi       ,17730,15397,0.87
, 1999-00,Rabi       ,13360,19467,1.46
, 2000-01,Rabi       ,13205,17608,1.33
, 2001-02,Rabi       ,13455,15656,1.16
, 2002-03,Rabi       ,11695,13775,1.18
, 2003-04,Rabi       ,10700,14468,1.35
, 2004-05,Rabi       ,8702,7373,0.85
, 2005-06,Rabi       ,7894,7123,0.90
, 2006-07,Rabi       ,7130,8917,1.25
, 2007-08,Rabi       ,6722,9170,1.36
, 2008-09,Rabi       ,6485,8095,1.25
, 2009-10,Rabi       ,6770,7573,1.12
, 2010-11,Rabi       ,3690,3958,1.07
, 2011-12,Rabi       ,3355,4200,1.25
, 2012-13,Rabi       ,2860,3918,1.37
, 2013-14,Rabi       ,2545,2994,1.18
, 2014-15,Rabi       ,2920,4325,1.48
, 2015-16,Rabi       ,2670,3763,1.41
, 2016-17,Rabi       ,2668,3578,1.34
, 2017-18,Rabi       ,2753,3815,1.39
 9.DIBRUGARH, 1997-98,Rabi       ,887,1040,1.17
, 1998-99,Rabi       ,1916,1487,0.78
, 1999-00,Rabi       ,1882,2533,1.35
, 2000-01,Rabi       ,942,934,0.99
, 2001-02,Rabi       ,1334,2002,1.50
, 2002-03,Rabi       ,946,1195,1.26
, 2003-04,Rabi       ,415,410,0.99
, 2004-05,Rabi       ,375,236,0.63
, 2005-06,Rabi       ,57,61,1.07
, 2006-07,Rabi       ,86,65,0.76
, 2007-08,Rabi       ,128,162,1.27
, 2008-09,Rabi       ,156,170,1.09
, 2009-10,Rabi       ,208,226,1.09
, 2010-11,Rabi       ,123,154,1.25
, 2011-12,Rabi       ,26,31,1.19
, 2012-13,Rabi       ,8,10,1.25
, 2013-14,Rabi       ,8,10,1.25
, 2014-15,Rabi       ,34,41,1.21
, 2015-16,Rabi       ,3,4,1.33
, 2016-17,Rabi       ,3,4,1.33
, 2017-18,Rabi       ,2,3,1.50
 10.DIMA HASAO, 1997-98,Rabi       ,56,73,1.30
, 1998-99,Rabi       ,50,51,1.02
, 1999-00,Rabi       ,58,74,1.28
, 2000-01,Rabi       ,58,70,1.21
, 2001-02,Rabi       ,59,70,1.19
, 2002-03,Rabi       ,56,63,1.13
, 2003-04,Rabi       ,56,59,1.05
, 2004-05,Rabi       ,56,60,1.07
, 2005-06,Rabi       ,47,51,1.09
, 2006-07,Rabi       ,46,52,1.13
, 2007-08,Rabi       ,40,51,1.28
, 2008-09,Rabi       ,45,49,1.09
, 2009-10,Rabi       ,41,45,1.10
, 2010-11,Rabi       ,41,51,1.24
, 2011-12,Rabi       ,25,30,1.20
, 2014-15,Rabi       ,11,13,1.18
 11.GOALPARA, 1997-98,Rabi       ,4720,7722,1.64
, 1998-99,Rabi       ,4000,4116,1.03
, 1999-00,Rabi       ,4100,5912,1.44
, 2000-01,Rabi       ,4000,7892,1.97
, 2001-02,Rabi       ,4000,6072,1.52
, 2002-03,Rabi       ,3856,5622,1.46
, 2003-04,Rabi       ,3639,5269,1.45
, 2004-05,Rabi       ,2468,3445,1.40
, 2005-06,Rabi       ,2820,3745,1.33
, 2006-07,Rabi       ,2512,4175,1.66
, 2007-08,Rabi       ,2468,3919,1.59
, 2008-09,Rabi       ,2410,4097,1.70
, 2009-10,Rabi       ,2550,4292,1.68
, 2010-11,Rabi       ,2200,2902,1.32
, 2011-12,Rabi       ,2250,3375,1.50
, 2012-13,Rabi       ,2750,4389,1.60
, 2013-14,Rabi       ,2900,3895,1.34
, 2014-15,Rabi       ,2512,1977,0.79
, 2015-16,Rabi       ,2250,3083,1.37
, 2016-17,Rabi       ,1139,1583,1.39
