District,lat,lon,State
Kambam,9.74,77.28,Tamil Nadu
Kanchipuram,12.84,79.7,Tamil Nadu
Karur,10.96,78.07,Tamil Nadu
Kavundampalaiyam,11.05,76.92,Tamil Nadu
Kovilpatti,9.19,77.86,Tamil Nadu
Koyampattur,11.01,76.96,Tamil Nadu
Krishnagiri,12.54,78.21,Tamil Nadu
Kumarapalaiyam,11.44,77.73,Tamil Nadu
Kumbakonam,10.97,79.38,Tamil Nadu
Kuniyamuthur,10.98,76.95,Tamil Nadu
Kurichi,10.92,76.96,Tamil Nadu
Madhavaram,13.02,80.26,Tamil Nadu
Madras,13.09,80.27,Tamil Nadu
Madurai,9.92,78.12,Tamil Nadu
Maduravoyal,,,Tamil Nadu
Mannargudi,10.67,79.45,Tamil Nadu
Mayiladuthurai,11.11,79.65,Tamil Nadu
Mettupalayam,11.3,76.94,Tamil Nadu
Mettur,11.8,77.8,Tamil Nadu
Nagapattinam,10.8,79.84,Tamil Nadu
Nagercoil,8.18,77.43,Tamil Nadu
Namakkal,11.23,78.17,Tamil Nadu
Nerkunram,13.04,80.26,Tamil Nadu
Neyveli,11.62,79.48,Tamil Nadu
Pallavaram,12.99,80.16,Tamil Nadu
Pammal,12.97,80.11,Tamil Nadu
Pannuratti,11.78,79.55,Tamil Nadu
Paramakkudi,9.54,78.59,Tamil Nadu
Pattukkottai,10.43,79.31,Tamil Nadu
Pollachi,10.67,77,Tamil Nadu
Pudukkottai,10.39,78.82,Tamil Nadu
Puliyankudi,9.18,77.4,Tamil Nadu
Punamalli,13.05,80.11,Tamil Nadu
Rajapalaiyam,9.46,77.55,Tamil Nadu
Ramanathapuram,9.37,78.83,Tamil Nadu
Salem,11.67,78.16,Tamil Nadu
Sankarankoil,9.17,77.54,Tamil Nadu
Sivakasi,9.46,77.79,Tamil Nadu
Srivilliputtur,9.52,77.63,Tamil Nadu
Tambaram,12.93,80.12,Tamil Nadu
Tenkasi,8.96,77.31,Tamil Nadu
Thanjavur,10.79,79.13,Tamil Nadu
Theni Allinagaram,10.02,77.48,Tamil Nadu
Thiruthangal,9.48,77.83,Tamil Nadu
Thiruvarur,10.78,79.64,Tamil Nadu
Thuthukkudi,8.81,78.14,Tamil Nadu
Tindivanam,12.24,79.65,Tamil Nadu
Tiruchchirappalli,10.81,78.69,Tamil Nadu
Tiruchengode,11.38,77.9,Tamil Nadu
Tirunelveli,8.73,77.69,Tamil Nadu
Tirupathur,12.5,78.57,Tamil Nadu
Tiruppur,11.09,77.35,Tamil Nadu
Tiruvannamalai,12.24,79.07,Tamil Nadu
Tiruvottiyur,13.16,80.29,Tamil Nadu
Udagamandalam,11.42,76.69,Tamil Nadu
Udumalaipettai,10.58,77.24,Tamil Nadu
Valparai,10.38,76.99,Tamil Nadu
Vaniyambadi,12.69,78.6,Tamil Nadu
Velampalaiyam,,,Tamil Nadu
Velluru,12.92,79.13,Tamil Nadu
Viluppuram,11.95,79.49,Tamil Nadu
Virappanchatram,11.4,77.7,Tamil Nadu
Virudhachalam,11.51,79.32,Tamil Nadu
Virudunagar,9.59,77.95,Tamil Nadu
Agartala,23.84,91.27,Tripura
Agartala MCl,,,Tripura
Badharghat,,,Tripura
Agra,27.19,78.01,Uttar Pradesh
Aligarh,27.89,78.06,Uttar Pradesh
Allahabad,25.45,81.84,Uttar Pradesh
Amroha,28.91,78.46,Uttar Pradesh
Aonla,28.28,79.15,Uttar Pradesh
Auraiya,26.47,79.5,Uttar Pradesh
Ayodhya,26.8,82.2,Uttar Pradesh
Azamgarh,26.07,83.18,Uttar Pradesh
Baheri,28.78,79.5,Uttar Pradesh
Bahraich,27.58,81.59,Uttar Pradesh
Ballia,25.76,84.15,Uttar Pradesh
Balrampur,27.43,82.18,Uttar Pradesh
Banda,25.48,80.33,Uttar Pradesh
Baraut,29.1,77.26,Uttar Pradesh
Bareli,28.36,79.41,Uttar Pradesh
Basti,26.8,82.74,Uttar Pradesh
Behta Hajipur,,,Uttar Pradesh
Bela,25.92,81.99,Uttar Pradesh
Bhadohi,25.4,82.56,Uttar Pradesh
Bijnor,29.38,78.13,Uttar Pradesh
Bisalpur,28.3,79.8,Uttar Pradesh
Biswan,27.5,81,Uttar Pradesh
Budaun,28.04,79.12,Uttar Pradesh
Bulandshahr,28.41,77.85,Uttar Pradesh
Chandausi,28.46,78.78,Uttar Pradesh
Chandpur,29.14,78.27,Uttar Pradesh
Chhibramau,27.15,79.52,Uttar Pradesh
Chitrakut Dham,25.2,80.84,Uttar Pradesh
Dadri,28.57,77.55,Uttar Pradesh
Deoband,29.7,77.67,Uttar Pradesh
Deoria,26.51,83.78,Uttar Pradesh
Etah,27.57,78.64,Uttar Pradesh
Etawah,26.78,79.01,Uttar Pradesh
Faizabad,26.78,82.14,Uttar Pradesh
Faridpur,28.22,79.53,Uttar Pradesh
Farrukhabad,27.4,79.57,Uttar Pradesh
Fatehpur,25.93,80.81,Uttar Pradesh
Firozabad,27.15,78.39,Uttar Pradesh
Gajraula,28.85,78.23,Uttar Pradesh
Ganga Ghat,26.52,80.45,Uttar Pradesh
Gangoh,29.77,77.25,Uttar Pradesh
Ghaziabad,28.66,77.41,Uttar Pradesh
Ghazipur,25.59,83.59,Uttar Pradesh
Gola Gokarannath,28.08,80.47,Uttar Pradesh
Gonda,27.14,81.95,Uttar Pradesh
Gorakhpur,26.76,83.36,Uttar Pradesh
Hapur,28.73,77.77,Uttar Pradesh
Hardoi,27.42,80.12,Uttar Pradesh
Hasanpur,28.72,78.28,Uttar Pradesh
Hathras,27.6,78.04,Uttar Pradesh
Jahangirabad,28.42,78.1,Uttar Pradesh
Jalaun,26.15,79.35,Uttar Pradesh
Jaunpur,25.76,82.69,Uttar Pradesh
Jhansi,25.45,78.56,Uttar Pradesh
Kadi,23.31,72.33,Uttar Pradesh
Kairana,29.4,77.2,Uttar Pradesh
Kannauj,27.06,79.91,Uttar Pradesh
Kanpur,26.47,80.33,Uttar Pradesh
Kanpur Cantonment,26.5,80.28,Uttar Pradesh
Kasganj,27.81,78.63,Uttar Pradesh
Khatauli,29.28,77.72,Uttar Pradesh
Khora,,,Uttar Pradesh
Khurja,28.26,77.85,Uttar Pradesh
Kiratpur,29.52,78.2,Uttar Pradesh
Kosi Kalan,27.8,77.44,Uttar Pradesh
Laharpur,27.72,80.9,Uttar Pradesh
Lakhimpur,27.95,80.78,Uttar Pradesh
Lakhnau,26.85,80.92,Uttar Pradesh
Lakhnau Cantonment,26.81,80.97,Uttar Pradesh
Lalitpur,24.7,78.41,Uttar Pradesh
Loni,28.75,77.28,Uttar Pradesh
Mahoba,25.3,79.87,Uttar Pradesh
Mainpuri,27.24,79.02,Uttar Pradesh
Mathura,27.5,77.68,Uttar Pradesh
Mau,25.96,83.56,Uttar Pradesh
Mauranipur,25.24,79.13,Uttar Pradesh
Mawana,29.11,77.91,Uttar Pradesh
Mirat,28.99,77.7,Uttar Pradesh
Mirat Cantonment,29.02,77.67,Uttar Pradesh
Mirzapur,25.16,82.56,Uttar Pradesh
Modinagar,28.92,77.62,Uttar Pradesh
Moradabad,28.84,78.76,Uttar Pradesh
Mubarakpur,26.09,83.28,Uttar Pradesh
Mughal Sarai,25.3,83.12,Uttar Pradesh
Muradnagar,28.78,77.5,Uttar Pradesh
`city_name`,`latitude`,`longitude`,`state`) VALUES
Muzaffarnagar,29.48,77.69,Uttar Pradesh
Nagina,29.45,78.43,Uttar Pradesh
Najibabad,29.62,78.33,Uttar Pradesh
Nawabganj,26.94,81.19,Uttar Pradesh
Noida,28.58,77.33,Uttar Pradesh
Obra,24.42,82.98,Uttar Pradesh
Orai,25.99,79.45,Uttar Pradesh
Pilibhit,28.64,79.81,Uttar Pradesh
Pilkhuwa,28.72,77.65,Uttar Pradesh
Rae Bareli,26.23,81.23,Uttar Pradesh
Ramgarh Nagla Kothi,,,Uttar Pradesh
Rampur,28.82,79.02,Uttar Pradesh
Rath,25.58,79.57,Uttar Pradesh
Renukut,24.2,83.03,Uttar Pradesh
Saharanpur,29.97,77.54,Uttar Pradesh
Sahaswan,28.08,78.74,Uttar Pradesh
Sambhal,28.59,78.56,Uttar Pradesh
Sandila,27.08,80.52,Uttar Pradesh
Shahabad,27.65,79.95,Uttar Pradesh
Shahjahanpur,27.88,79.9,Uttar Pradesh
Shamli,29.46,77.31,Uttar Pradesh
Sherkot,29.35,78.58,Uttar Pradesh
Shikohabad,27.12,78.58,Uttar Pradesh
Sikandarabad,28.44,77.69,Uttar Pradesh
Sitapur,27.57,80.69,Uttar Pradesh
Sukhmalpur Nizamabad,,,Uttar Pradesh
Sultanpur,26.26,82.06,Uttar Pradesh
Tanda,26.55,82.65,Uttar Pradesh
Tilhar,27.98,79.73,Uttar Pradesh
Tundla,27.2,78.28,Uttar Pradesh
Ujhani,28.02,79.02,Uttar Pradesh
Unnao,26.55,80.49,Uttar Pradesh
Varanasi,25.32,83.01,Uttar Pradesh
Vrindavan,27.58,77.7,Uttar Pradesh
Dehra Dun,30.34,78.05,Uttaranchal
Dehra Dun Cantonment,30.34,77.97,Uttaranchal
Gola Range,,,Uttaranchal
Haldwani,29.23,79.52,Uttaranchal
Haridwar,29.98,78.16,Uttaranchal
Kashipur,29.22,78.96,Uttaranchal
Pithoragarh,29.58,80.22,Uttaranchal
Rishikesh,30.12,78.29,Uttaranchal
Rudrapur,,,Uttaranchal
Rurki,29.87,77.89,Uttaranchal
